date,token_symbol,token_name,open,high,low,close,volume,market_cap,source
2025-01-28,MONERO,,213.98000000,225.28000000,212.29000000,218.09000000,58201544.00,4023038493.00,CoinMarketCap
2025-01-27,MONERO,,218.84000000,223.69000000,209.25000000,213.98000000,75109031.00,3947235522.00,CoinMarketCap
2025-01-26,MONERO,,221.17000000,225.85000000,218.48000000,218.84000000,45838398.00,4036822984.00,CoinMarketCap
2025-01-25,MONERO,,220.68000000,222.99000000,217.25000000,221.17000000,50182820.00,4079873676.00,CoinMarketCap
2025-01-24,MONERO,,221.48000000,222.55000000,213.16000000,220.65000000,62999080.00,4070354039.00,CoinMarketCap
2025-01-23,MONERO,,222.82000000,226.86000000,213.25000000,221.48000000,72354006.00,4084927551.00,CoinMarketCap
2025-01-22,MONERO,,214.56000000,223.54000000,212.27000000,222.83000000,81559304.00,4110387421.00,CoinMarketCap
2025-01-21,MONERO,,207.61000000,219.60000000,202.58000000,214.56000000,64423524.00,3957972897.00,CoinMarketCap
2025-01-20,MONERO,,203.90000000,213.83000000,195.86000000,207.62000000,84011604.00,3829713904.00,CoinMarketCap
2025-01-19,MONERO,,217.56000000,223.50000000,199.54000000,203.90000000,81762961.00,3761373797.00,CoinMarketCap
2025-01-18,MONERO,,230.69000000,232.04000000,212.36000000,217.56000000,81507630.00,4013192099.00,CoinMarketCap
2025-01-17,MONERO,,221.90000000,235.33000000,217.99000000,230.69000000,92536298.00,4255550749.00,CoinMarketCap
2025-01-16,MONERO,,208.31000000,221.93000000,206.35000000,221.90000000,89590210.00,4093352582.00,CoinMarketCap
2025-01-15,MONERO,,205.61000000,210.28000000,203.60000000,208.29000000,78894719.00,3842553867.00,CoinMarketCap
2025-01-14,MONERO,,202.52000000,209.85000000,202.10000000,205.61000000,76659310.00,3792882851.00,CoinMarketCap
2025-01-13,MONERO,,199.91000000,204.23000000,190.57000000,202.52000000,74706768.00,3735788530.00,CoinMarketCap
2025-01-12,MONERO,,198.30000000,207.96000000,195.15000000,199.91000000,61420445.00,3687709496.00,CoinMarketCap
2025-01-11,MONERO,,199.27000000,199.67000000,193.74000000,198.30000000,41204011.00,3657969507.00,CoinMarketCap
2025-01-10,MONERO,,190.72000000,200.24000000,189.46000000,199.29000000,58084576.00,3676165756.00,CoinMarketCap
2025-01-09,MONERO,,201.07000000,201.08000000,189.10000000,190.72000000,56296337.00,3518084599.00,CoinMarketCap
2025-01-08,MONERO,,194.04000000,201.34000000,183.69000000,201.07000000,88323181.00,3709139097.00,CoinMarketCap
2025-01-07,MONERO,,203.78000000,205.64000000,193.06000000,194.04000000,54050573.00,3579467120.00,CoinMarketCap
2025-01-06,MONERO,,196.71000000,206.22000000,196.55000000,203.78000000,60821238.00,3759034036.00,CoinMarketCap
2025-01-05,MONERO,,194.45000000,198.59000000,188.17000000,196.71000000,58068274.00,3628655897.00,CoinMarketCap
2025-01-04,MONERO,,200.87000000,202.05000000,193.43000000,194.45000000,51217889.00,3586927140.00,CoinMarketCap
2025-01-03,MONERO,,197.06000000,205.92000000,196.05000000,200.87000000,53438837.00,3705428329.00,CoinMarketCap
2025-01-02,MONERO,,195.40000000,197.21000000,191.80000000,197.07000000,38042818.00,3635216884.00,CoinMarketCap
2025-01-01,MONERO,,193.40000000,196.64000000,191.88000000,195.40000000,26839219.00,3604489245.00,CoinMarketCap
2024-12-31,MONERO,,190.67000000,197.23000000,186.08000000,193.40000000,47457662.00,3567587241.00,CoinMarketCap
2024-12-30,MONERO,,192.70000000,196.82000000,183.41000000,190.67000000,53871785.00,3517167371.00,CoinMarketCap
2024-12-29,MONERO,,196.92000000,197.29000000,189.27000000,192.61000000,42715590.00,3554773017.00,CoinMarketCap
2024-12-28,MONERO,,192.69000000,200.07000000,192.69000000,196.92000000,45318865.00,3632536902.00,CoinMarketCap
2024-12-27,MONERO,,188.94000000,195.62000000,187.21000000,192.69000000,55406164.00,3554414522.00,CoinMarketCap
2024-12-26,MONERO,,190.77000000,194.12000000,187.39000000,188.95000000,60333568.00,3485448865.00,CoinMarketCap
2024-12-25,MONERO,,190.19000000,199.70000000,189.30000000,190.77000000,72531967.00,3519144010.00,CoinMarketCap
2024-12-24,MONERO,,190.85000000,193.40000000,184.51000000,190.19000000,66075547.00,3508356120.00,CoinMarketCap
2024-12-23,MONERO,,189.79000000,193.62000000,185.34000000,190.85000000,80149381.00,3520605559.00,CoinMarketCap
2024-12-22,MONERO,,183.81000000,198.20000000,181.46000000,189.79000000,102004214.00,3501004689.00,CoinMarketCap
2024-12-21,MONERO,,196.52000000,197.00000000,181.18000000,183.81000000,82796840.00,3390735816.00,CoinMarketCap
2024-12-20,MONERO,,193.60000000,201.63000000,166.95000000,196.52000000,171264223.00,3625199380.00,CoinMarketCap
2024-12-19,MONERO,,212.60000000,215.44000000,190.02000000,193.61000000,134600144.00,3571501513.00,CoinMarketCap
2024-12-18,MONERO,,212.92000000,224.31000000,209.86000000,212.56000000,137747833.00,3921104529.00,CoinMarketCap
2024-12-17,MONERO,,212.07000000,224.75000000,208.85000000,212.92000000,121717838.00,3927762826.00,CoinMarketCap
2024-12-16,MONERO,,222.31000000,231.48000000,208.01000000,212.07000000,152463806.00,3911985110.00,CoinMarketCap
2024-12-15,MONERO,,210.24000000,222.95000000,206.53000000,222.31000000,113388433.00,4100879663.00,CoinMarketCap
2024-12-14,MONERO,,207.06000000,220.39000000,203.04000000,210.24000000,110352285.00,3878257864.00,CoinMarketCap
2024-12-13,MONERO,,200.26000000,214.21000000,198.78000000,207.06000000,147238828.00,3819550368.00,CoinMarketCap
2024-12-12,MONERO,,199.37000000,214.86000000,194.54000000,200.26000000,134244380.00,3694233725.00,CoinMarketCap
2024-12-11,MONERO,,179.44000000,200.06000000,175.65000000,199.36000000,120537784.00,3677752025.00,CoinMarketCap
2024-12-10,MONERO,,176.22000000,180.28000000,165.80000000,179.44000000,158694058.00,3310100454.00,CoinMarketCap
2024-12-09,MONERO,,222.49000000,227.06000000,155.66000000,176.23000000,169753629.00,3250789696.00,CoinMarketCap
2024-12-08,MONERO,,200.76000000,225.03000000,196.50000000,222.55000000,114097982.00,4104268484.00,CoinMarketCap
2024-12-07,MONERO,,198.94000000,203.50000000,193.97000000,200.76000000,84801723.00,3703343502.00,CoinMarketCap
2024-12-06,MONERO,,193.44000000,205.09000000,193.41000000,198.94000000,97424437.00,3669795489.00,CoinMarketCap
2024-12-05,MONERO,,197.07000000,211.73000000,185.09000000,192.59000000,170085889.00,3552749296.00,CoinMarketCap
2024-12-04,MONERO,,202.27000000,212.41000000,188.08000000,197.07000000,205188232.00,3635237237.00,CoinMarketCap
2024-12-03,MONERO,,173.87000000,212.15000000,166.56000000,202.27000000,219495824.00,3731186430.00,CoinMarketCap
2024-12-02,MONERO,,163.20000000,177.61000000,160.44000000,173.86000000,131663435.00,3207302409.00,CoinMarketCap
2024-12-01,MONERO,,162.32000000,165.06000000,161.34000000,163.20000000,75180500.00,3010485128.00,CoinMarketCap
2024-11-30,MONERO,,159.38000000,163.70000000,158.12000000,162.32000000,58265927.00,2994192429.00,CoinMarketCap
2024-11-29,MONERO,,159.27000000,160.42000000,155.61000000,159.38000000,75013973.00,2940011779.00,CoinMarketCap
2024-11-28,MONERO,,156.11000000,160.55000000,155.47000000,159.27000000,65374867.00,2938035517.00,CoinMarketCap
2024-11-27,MONERO,,161.24000000,161.24000000,150.10000000,156.11000000,88960987.00,2879657949.00,CoinMarketCap
